iter	Passed	Remaining
0	11	8207
1	21	7545
2	31	7317
3	41	7184
4	50	7019
5	60	7014
6	70	6941
7	78	6830
8	89	6875
9	100	6904
10	111	6961
11	121	6951
12	130	6894
13	141	6910
14	150	6850
15	158	6788
16	167	6741
17	175	6650
18	183	6584
19	192	6534
20	201	6520
21	210	6492
22	218	6441
23	227	6399
24	236	6384
25	246	6391
26	256	6390
27	265	6377
28	274	6357
29	284	6350
30	293	6323
31	302	6320
32	311	6298
33	322	6309
34	333	6333
35	342	6325
36	353	6338
37	363	6339
38	376	6376
39	386	6372
40	396	6368
41	406	6374
42	416	6360
43	426	6360
44	437	6366
45	447	6355
46	457	6351
47	467	6356
48	477	6345
49	488	6345
50	498	6344
51	508	6330
52	518	6327
53	528	6327
54	538	6310
55	548	6311
56	557	6289
57	568	6295
58	580	6305
59	589	6288
60	599	6282
61	608	6262
62	617	6244
63	626	6229
64	637	6225
65	646	6214
66	656	6202
67	666	6197
68	677	6192
69	686	6180
70	696	6169
71	707	6167
72	718	6167
73	727	6157
74	737	6144
75	748	6143
76	757	6127
77	767	6117
78	777	6112
79	787	6101
80	798	6103
81	808	6095
82	818	6086
83	828	6073
84	837	6057
85	848	6054
86	857	6045
87	868	6037
88	879	6036
89	890	6035
90	899	6022
91	910	6014
92	918	5994
93	928	5985
94	938	5977
95	947	5962
96	957	5953
97	967	5944
98	977	5935
99	988	5928
100	997	5916
101	1006	5901
102	1018	5900
103	1027	5889
104	1038	5882
105	1048	5873
106	1059	5870
107	1091	5983
108	1133	6145
109	1178	6323
110	1221	6479
111	1265	6645
112	1305	6781
113	1349	6937
114	1397	7110
115	1442	7259
116	1485	7401
117	1529	7545
118	1573	7684
119	1617	7815
120	1661	7951
121	1697	8040
122	1740	8163
123	1783	8283
124	1824	8392
125	1867	8507
126	1908	8609
127	1951	8719
128	1992	8819
129	2033	8914
130	2066	8977
131	2079	8947
132	2089	8909
133	2099	8866
134	2109	8827
135	2117	8782
136	2127	8742
137	2136	8701
138	2146	8664
139	2155	8623
140	2164	8580
141	2173	8542
142	2183	8505
143	2192	8467
144	2202	8430
145	2211	8390
146	2219	8348
147	2229	8314
148	2238	8279
149	2249	8249
150	2258	8211
151	2267	8176
152	2278	8145
153	2287	8110
154	2296	8075
155	2305	8039
156	2314	8004
157	2324	7972
158	2334	7944
159	2344	7914
160	2353	7879
161	2361	7844
162	2370	7810
163	2381	7782
164	2389	7748
165	2399	7719
166	2408	7688
167	2418	7657
168	2428	7631
169	2438	7601
170	2448	7574
171	2457	7544
172	2467	7516
173	2476	7486
174	2486	7459
175	2496	7431
176	2505	7402
177	2514	7374
178	2524	7346
179	2532	7316
180	2542	7289
181	2551	7260
182	2559	7230
183	2568	7203
184	2577	7175
185	2586	7147
186	2595	7121
187	2606	7098
188	2616	7073
189	2626	7049
190	2634	7022
191	2644	6997
192	2652	6968
193	2661	6942
194	2670	6915
195	2680	6891
196	2689	6866
197	2699	6845
198	2707	6817
199	2716	6792
200	2727	6771
201	2737	6749
202	2746	6725
203	2757	6703
204	2766	6679
205	2774	6654
206	2784	6630
207	2793	6608
208	2802	6585
209	2812	6563
210	2822	6540
211	2832	6519
212	2842	6498
213	2851	6475
214	2861	6455
215	2871	6433
216	2880	6411
217	2890	6390
218	2901	6372
219	2911	6352
220	2921	6331
221	2932	6313
222	2943	6295
223	2953	6276
224	2963	6255
225	2972	6233
226	2981	6213
227	2991	6193
228	3001	6173
229	3011	6153
230	3021	6133
231	3031	6115
232	3041	6096
233	3051	6077
234	3061	6058
235	3071	6039
236	3081	6019
237	3090	5999
238	3100	5979
239	3110	5961
240	3119	5941
241	3129	5922
242	3138	5902
243	3147	5882
244	3157	5863
245	3166	5843
246	3176	5825
247	3184	5804
248	3195	5787
249	3205	5769
250	3214	5750
251	3224	5732
252	3234	5714
253	3245	5698
254	3254	5679
255	3264	5662
256	3274	5645
257	3284	5627
258	3295	5610
259	3305	5594
260	3314	5575
261	3324	5557
262	3333	5539
263	3343	5521
264	3353	5505
265	3362	5486
266	3371	5468
267	3381	5451
268	3391	5433
269	3401	5416
270	3411	5400
271	3422	5385
272	3431	5367
273	3440	5348
274	3449	5331
275	3460	5316
276	3470	5299
277	3479	5282
278	3488	5263
279	3497	5246
280	3506	5228
281	3517	5213
282	3526	5196
283	3536	5179
284	3545	5163
285	3555	5146
286	3565	5131
287	3574	5113
288	3584	5097
289	3594	5082
290	3604	5065
291	3614	5050
292	3624	5035
293	3635	5019
294	3644	5003
295	3655	4989
296	3666	4974
297	3676	4959
298	3688	4947
299	3698	4931
300	3709	4916
301	3719	4901
302	3729	4886
303	3739	4871
304	3749	4856
305	3761	4843
306	3772	4829
307	3784	4816
308	3795	4802
309	3805	4787
310	3815	4772
311	3825	4757
312	3835	4742
313	3845	4726
314	3854	4711
315	3865	4696
316	3875	4681
317	3885	4667
318	3895	4652
319	3905	4637
320	3914	4621
321	3924	4607
322	3934	4592
323	3944	4577
324	3952	4560
325	3963	4547
326	3975	4534
327	3985	4519
328	3994	4504
329	4003	4489
330	4012	4473
331	4021	4458
